"group"	"gene"
"Apoptosis"	"5294"
"Apoptosis"	"5295"
"Apoptosis"	"5296"
"Apoptosis"	"54205"
"Apoptosis"	"5530"
"Apoptosis"	"5532"
"Apoptosis"	"5533"
"Apoptosis"	"5534"
"Apoptosis"	"5535"
"Apoptosis"	"5566"
"Apoptosis"	"5567"
"Apoptosis"	"5568"
"Apoptosis"	"5573"
"Apoptosis"	"5575"
"Apoptosis"	"5576"
"Apoptosis"	"5577"
"Apoptosis"	"5613"
"Apoptosis"	"572"
"Apoptosis"	"581"
"Apoptosis"	"596"
"Apoptosis"	"5970"
"Apoptosis"	"598"
"Apoptosis"	"637"
"Apoptosis"	"63928"
"Apoptosis"	"651610"
"Apoptosis"	"7124"
"Apoptosis"	"7132"
"Apoptosis"	"7157"
"Apoptosis"	"7186"
"Apoptosis"	"823"
"Apoptosis"	"824"
"Apoptosis"	"836"
"Apoptosis"	"839"
"Apoptosis"	"840"
"Apoptosis"	"841"
"Apoptosis"	"842"
"Apoptosis"	"843"
"Apoptosis"	"8503"
"Apoptosis"	"8517"
"Apoptosis"	"8717"
"Apoptosis"	"8737"
"Apoptosis"	"8743"
"Apoptosis"	"8772"
"Apoptosis"	"8793"
"Apoptosis"	"8794"
"Apoptosis"	"8795"
"Apoptosis"	"8797"
"Apoptosis"	"8837"
"Apoptosis"	"9020"
"Apoptosis"	"9131"
"Apoptosis"	"9941"
"TGF-beta signaling pathway"	"100506332"
"TGF-beta signaling pathway"	"10468"
"TGF-beta signaling pathway"	"10637"
"TGF-beta signaling pathway"	"130399"
"TGF-beta signaling pathway"	"1311"
"TGF-beta signaling pathway"	"1387"
"TGF-beta signaling pathway"	"151449"
"TGF-beta signaling pathway"	"1634"
"TGF-beta signaling pathway"	"1874"
"TGF-beta signaling pathway"	"1875"
"TGF-beta signaling pathway"	"2033"
"TGF-beta signaling pathway"	"268"
"TGF-beta signaling pathway"	"269"
"TGF-beta signaling pathway"	"3398"
"TGF-beta signaling pathway"	"3399"
"TGF-beta signaling pathway"	"3400"
"TGF-beta signaling pathway"	"3458"
"TGF-beta signaling pathway"	"353500"
"TGF-beta signaling pathway"	"3624"
"TGF-beta signaling pathway"	"3625"
"TGF-beta signaling pathway"	"3626"
"TGF-beta signaling pathway"	"387"
"TGF-beta signaling pathway"	"392255"
"TGF-beta signaling pathway"	"4052"
"TGF-beta signaling pathway"	"4086"
"TGF-beta signaling pathway"	"4087"
"TGF-beta signaling pathway"	"4088"
"TGF-beta signaling pathway"	"4089"
"TGF-beta signaling pathway"	"4090"
"TGF-beta signaling pathway"	"4091"
"TGF-beta signaling pathway"	"4092"
"TGF-beta signaling pathway"	"4093"
"TGF-beta signaling pathway"	"4838"
"TGF-beta signaling pathway"	"5515"
"TGF-beta signaling pathway"	"5516"
"TGF-beta signaling pathway"	"5518"
"TGF-beta signaling pathway"	"5519"
"TGF-beta signaling pathway"	"5594"
"TGF-beta signaling pathway"	"5595"
"TGF-beta signaling pathway"	"57154"
"TGF-beta signaling pathway"	"5933"
"TGF-beta signaling pathway"	"5934"
"TGF-beta signaling pathway"	"6093"
"TGF-beta signaling pathway"	"6198"
"TGF-beta signaling pathway"	"6199"
"TGF-beta signaling pathway"	"64750"
"TGF-beta signaling pathway"	"650"
"TGF-beta signaling pathway"	"6500"
"TGF-beta signaling pathway"	"652"
"TGF-beta signaling pathway"	"653"
"TGF-beta signaling pathway"	"654"
"TGF-beta signaling pathway"	"655"
"TGF-beta signaling pathway"	"656"
"TGF-beta signaling pathway"	"657"
"TGF-beta signaling pathway"	"658"
"TGF-beta signaling pathway"	"659"
"TGF-beta signaling pathway"	"6667"
"TGF-beta signaling pathway"	"7027"
"TGF-beta signaling pathway"	"7040"
"TGF-beta signaling pathway"	"7042"
"TGF-beta signaling pathway"	"7043"
"TGF-beta signaling pathway"	"7044"
"TGF-beta signaling pathway"	"7046"
"TGF-beta signaling pathway"	"7048"
"TGF-beta signaling pathway"	"7057"
"TGF-beta signaling pathway"	"7058"
"TGF-beta signaling pathway"	"7059"
"TGF-beta signaling pathway"	"7060"
"TGF-beta signaling pathway"	"7124"
"TGF-beta signaling pathway"	"8200"
"TGF-beta signaling pathway"	"83729"
"TGF-beta signaling pathway"	"8454"
"TGF-beta signaling pathway"	"8646"
"TGF-beta signaling pathway"	"90"
"TGF-beta signaling pathway"	"92"
"TGF-beta signaling pathway"	"9241"
"TGF-beta signaling pathway"	"93"
"TGF-beta signaling pathway"	"9372"
"TGF-beta signaling pathway"	"9475"
"TGF-beta signaling pathway"	"9765"
"TGF-beta signaling pathway"	"9978"
"VEGF signaling pathway"	"10725"
"VEGF signaling pathway"	"11261"
"VEGF signaling pathway"	"123745"
"VEGF signaling pathway"	"1432"
"VEGF signaling pathway"	"207"
"VEGF signaling pathway"	"208"
"VEGF signaling pathway"	"23533"
"VEGF signaling pathway"	"25759"
"VEGF signaling pathway"	"26279"
"VEGF signaling pathway"	"30814"
"VEGF signaling pathway"	"3315"
"VEGF signaling pathway"	"3791"
"VEGF signaling pathway"	"3845"
"VEGF signaling pathway"	"391013"
"VEGF signaling pathway"	"4772"
"VEGF signaling pathway"	"4775"
"VEGF signaling pathway"	"4776"
"VEGF signaling pathway"	"4893"
